ID_MARKET,LM_TNAME,LM_ENAME,CODE_ID,GROUP_ID,GROUP_TNAM,GROUP_ENAM,ADMIN_CODE,TAM_CODE,TAM_TNAME,TAM_ENAME,AMP_CODE,AMP_TNAME,AMP_ENAME,PROV_CODE,PROV_TNAME,PROV_ENAME,REG_CODE,REG_TNAME,REG_ENAME,POSTCOD,CNTRY_CODE,CNTRY_TNAM,CNTRY_ENAM,LAT,LONG
12087,ตลาดสดดอนเมือง,Donmuang Market,14000,14,ตลาด,Market,6604010703,3,ดอนเมือง,Don Mueang,7,ดอนเมือง,Don Mueang,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10210,66,ไทย,Thailand,13.923478,100.597161
70921,ตลาดใหม่ทุ่งครุ (ประชาอุทิศ 61),Talat Mai Thungkhru (Pracha Uthit 61),14000,14,ตลาด,Market,6604010703,3,ดอนเมือง,Don Mueang,7,ดอนเมือง,Don Mueang,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10210,66,ไทย,Thailand,13.920953,100.599788
42834,ตลาดสดดาวคะนอง,Daokhanong Market,14000,14,ตลาด,Market,6604011306,6,ดาวคะนอง,Dao Khanong,13,ธนบุรี,Thon Buri,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10600,66,ไทย,Thailand,13.69763,100.482522
42835,ตลาดสดกรมการค้าภายในกระทรวงพาณิชย์,Market of Dept. of Inland Trade Ministry of Commerce,14000,14,ตลาด,Market,6604011306,6,ดาวคะนอง,Dao Khanong,13,ธนบุรี,Thon Buri,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10600,66,ไทย,Thailand,13.697077,100.48243
12148,ตลาดใหม่โกวบ๊อ,Ko Bo New Market,14000,14,ตลาด,Market,6604011306,6,ดาวคะนอง,Dao Khanong,13,ธนบุรี,Thon Buri,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10600,66,ไทย,Thailand,13.703404,100.483932
12149,ตลาดสดบุคคโล,Bukkhalo Market,14000,14,ตลาด,Market,6604011306,6,ดาวคะนอง,Dao Khanong,13,ธนบุรี,Thon Buri,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10600,66,ไทย,Thailand,13.702048,100.487652
12151,ตลาดเก่าบุคคโล,Bukkalo Market,14000,14,ตลาด,Market,6604011306,6,ดาวคะนอง,Dao Khanong,13,ธนบุรี,Thon Buri,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10600,66,ไทย,Thailand,13.702073,100.488781
70855,ตลาดท่าเรือแห่งประเทศไทย,Talat Tharuea Haeng Prathet Thai,14000,14,ตลาด,Market,6604011306,6,ดาวคะนอง,Dao Khanong,13,ธนบุรี,Thon Buri,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10600,66,ไทย,Thailand,13.703332,100.483968
12110,ตลาดสุทธิสาร,Sutthisan Market,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.788912,100.56599
12111,ตลาดสดเคหชุมชนห้วยขวาง,Huai Khuang Housing Community Market,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.778807,100.569418
12112,ตลาดโซน3,Zone 3 Market,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.777616,100.569952
12113,ตลาดสดห้วยขวางการเคหะแห่งชาติ,Huai Khuang Market NHA,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.777474,100.56852
12114,ตลาดกรุณากรุงเทพฯ,Karuna Bangkok Market,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.766754,100.557596
12115,ตลาดศรีวานิช,Sriwanit Market,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.7632,100.545595
12116,ตลาดศรีทองคำ,Srithongkham Market,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.761014,100.549446
12117,ตลาดกว้างพัฒนา,Khwang Phatthana Market,14000,14,ตลาด,Market,6604010801,1,ดินแดง,Din Daeng,8,ดินแดง,Din Daeng,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10400,66,ไทย,Thailand,13.75788,100.558758
